imagem_nome,tipo_imagem
"34.PHA_NET Jardim apto J","Imagem Interna"
"35.PHA_NET Planta baixa 21-29 (Referente ao pavimento 26/27)","Planta Humanizada"
"36.PHA_NET Living apto G",Unidade
"37.PHA_NET Planta baixa 30","Planta Humanizada"
"38.PHA_NET Planta baixa 31","Planta Humanizada"
"39.PHA_NET Living apto Q",Unidade
"1.HSA_WIN Fotomontagem aerea com insercao da torre em terreno real",Fachada
"2.HSA_WIN Fachada diurna no angulo do observador (portfolio)",Fachada
"3.HSA_WIN Fachada noturna",Fachada
"4.HSA_WIN Playground mostrando Mini Quadra","Imagem Externa"
"5.HSA_WIN Espaco fogo","Imagem Externa"
"6.HSA_WIN Academia","Imagem Interna"
"7.HSA_WIN Gourmet da piscina","Imagem Interna"
"8.HSA_WIN SPA","Imagem Interna"
"9.HSA_WIN Salao de festas","Imagem Interna"
"10.HSA_WIN Sala de jogos","Imagem Interna"
"11.HSA_WIN Espaco poker","Imagem Interna"
"12.HSA_WIN Espaco kids","Imagem Interna"
"13.HSA_WIN Hall de entrada","Imagem Interna"
"14.HSA_WIN Piscinas - Foco na piscina infantil","Imagem Externa"
"15.HSA_WIN Piscinas - Foco na piscina adulto","Imagem Externa"
"16.HSA_WIN Piscinas - Foco nos ambientes de estar","Imagem Externa"
"17.HSA_WIN Living do apartamento tipo 1 - Geral",Unidade
"18.HSA_WIN Living do apartamento tipo 1 - Angulo 2",Unidade
"19.HSA_WIN Suite do apartamento tipo 1",Unidade
"20.HSA_WIN Planta do pavimento lazer","Planta Humanizada"
"21.HSA_WIN Planta humanizada do apartamento tipo","Planta Humanizada"
"1.HSA_MON Fotomontagem aerea com insercao do empreendimento em terreno real angulo 1",Fachada
"4.HSA_MON Fachada no angulo do observador Diurna de baixo",Fachada
"5.HSA_MON Fachada no angulo do observador Noturna",Fachada
"6.HSA_MON Fachada no angulo de portfolio",Fachada
"7.HSA_MON Hall de entrada","Imagem Interna"
"8.HSA_MON Espaco Office","Imagem Interna"
"9.HSA_MON Piscinas angulo 1","Imagem Externa"
"10.HSA_MON Piscinas angulo 2","Imagem Externa"
"11.HSA_MON Gusto & Aroma","Imagem Externa"
"12.HSA_MON Fire place","Imagem Externa"
"13.HSA_MON Playground","Imagem Externa"
"14.HSA_MON Salao de festas","Imagem Interna"
"15.HSA_MON Terraco do Salao de festas","Imagem Externa"
"16.HSA_MON Espaco kids","Imagem Interna"
"17.HSA_MON Pet Care olhando para espaco Pet","Imagem Interna"
"18.HSA_MON Academia","Imagem Interna"
"19.HSA_MON Piscina aquecida","Imagem Interna"
"20.HSA_MON Sala de jogos","Imagem Interna"
"21.HSA_MON Mini Mercado","Imagem Interna"
"22.HSA_MON Sky Pub","Imagem Interna"
"23.HSA_MON Ville del Acqua","Imagem Interna"
"24.HSA_MON Terraco Sky Pub",Unidade
"25.HSA_MON Wine lounge","Imagem Interna"
"26.HSA_MON Living do apartamento tipo 1 + Sacada",Unidade
"27.HSA_MON Vista real do living do apartamento tipo 1",Unidade
"28.HSA_MON Sacada gourmet sensacao da vista do apartamento tipo 1",Unidade
"29.HSA_MON Suite do apartamento tipo 1",Unidade
"30.HSA_MON Living do apartamento Penthouse angulo 1",Unidade
"31.HSA_MON Living do apartamento Penthouse angulo 2",Unidade
"32.HSA_MON Living do apartamento Penthouse foco na vista",Unidade
"33.HSA_MON Suite do apartamento Penthouse",Unidade
"34.HSA_MON Suite do apartamento Penthouse com foco no closet",Unidade
"35.HSA_MON Vista da banheira da suite do apartamento Penthouse",Unidade
"36.HSA_MON Planta humanizada implantacao geral mostrando o pavimento terreo","Planta Humanizada"
"37.HSA_MON Planta humanizada do pavimento lazer - 4° Pavimento","Planta Humanizada"
"38.HSA_MON Planta humanizada do pavimento lazer - 26° Pavimento","Planta Humanizada"
"39.HSA_MON Planta humanizada do pavimento Tipo","Planta Humanizada"
"40.HSA_MON Planta humanizada do pavimento Penthouse","Planta Humanizada"
"1.OTT_EKO Fotomontagem aerea - Insercao do empreendimento em terreno real visto do mar angulo 1",Fachada
"2.OTT_EKO Fotomontagem aerea - Insercao do empreendimento em terreno real visto do mar angulo 2",Fachada
"3.OTT_EKO Fachada diurna no angulo do observador",Fachada
"4.OTT_EKO Embasamento com foco no acesso",Fachada
"5.OTT_EKO Hall de entrada","Imagem Interna"
"6.OTT_EKO Piscina 1 com vista fotografica real","Imagem Externa"
"7.OTT_EKO Vista Living Tipo Final 2 ou 3","Imagem Externa"
"8.OTT_EKO Bar da piscina 1","Imagem Interna"
"9.OTT_EKO Academia com sacada com vista para o mar","Imagem Interna"
"10.OTT_EKO Brinquedoteca com vista para o playground","Imagem Interna"
"11.OTT_EKO Vista do tipo final 1","Imagem Interna"
"12.OTT_EKO Sacada do Salao de festas com vista fotografica real","Imagem Interna"
"13.OTT_EKO Living do apartamento tipo final 1 com vista fotografica real para o mar",Unidade
"14.OTT_EKO Living do apartamento tipo final 2 ou 3 com vista fotografica real para o mar",Unidade
"16.OTT_EKO Living do apartamento cobertura final 1 com vista fotografica real para o mar",Unidade
"17.OTT_EKO Area de festas do apartamento cobertura final 1 com vista fotografica real",Unidade
"18.OTT_EKO Planta humanizada do pavimento lazer","Planta Humanizada"
"19.OTT_EKO Planta humanizada do apartamento tipo 1 - Planta Eng.Genesio","Planta Humanizada"
"20.OTT_EKO Planta humanizada do apartamento tipo 2","Planta Humanizada"
"21.OTT_EKO Planta humanizada do apartamento tipo 3","Planta Humanizada"
"22.OTT_EKO Planta humanizada do apartamento cobertura inferior 1","Planta Humanizada"
"23.OTT_EKO Planta humanizada do apartamento cobertura superior 1","Planta Humanizada"
"24.OTT_EKO Planta humanizada do apartamento cobertura inferior 2","Planta Humanizada"
"25.OTT_EKO Planta humanizada do apartamento cobertura superior 2","Planta Humanizada"
"26.OTT_EKO Planta humanizada do apartamento cobertura inferior 3","Planta Humanizada"
"27.OTT_EKO Planta humanizada do apartamento cobertura superior 3","Planta Humanizada"
"26.DOM_MOR PLANTA HUMANIZADA DO PAVIMENTO SUBSOLO","Planta Humanizada"
"27.DOM_MOR PLANTA HUMANIZADA IMPLANTACAO MOSTRANDO PAVIMENTO DE LAZER","Planta Humanizada"
"28.DOM_MOR PLANTA HUMANIZADA DO PAVIMENTO MEZANINO TORRE A JUNTAMENTE COM O 1º PAVIMENTO TORRE B","Planta Humanizada"
"29.DOM_MOR PLANTA HUMANIZADA DO 1º PAVIMENTO TORRE A JUNTAMENTE COM O 2º PAVIMENTO TORRE B","Planta Humanizada"
"30.DOM_MOR PLANTA HUMANIZADA DO 2º PAVIMENTO TORRE A JUNTAMENTE COM O 3º PAVIMENTO TORRE B","Planta Humanizada"
"31.DOM_MOR PLANTA HUMANIZADA DO 3º PAVIMENTO TORRE A JUNTAMENTE COM O MEZANINO TORRE B","Planta Humanizada"
"32.DOM_MOR PLANTA HUMANIZADA DO PAVIMENTO DAS COBERTURAS DAS TORRES A E B","Planta Humanizada"
"1.FG_TRI Fachada no angulo do observador de baixo - Diurna",Fachada
"2.FG_TRI_Fotomontagem_RSVI7835
",Fachada
"3.FG_TRI_Fotomontagem_RSVI8085
",Fachada
4.FG_TRI_Fotomontagem_RSVI8389,Fachada
5.FG_TRI_Fotomontagem_RSVI9033,Fachada
"6.FG_TRI Fachada no angulo do observador de baixo - Sunset",Fachada
"7.FG_TRI_Fotomontagem_RSVI777
",Fachada
"8.FG_TRI Aerea do lazer de topo - Lazer 1 posterior","Imagem externa"
"9.FG_TRI Quadra","Imagem externa"
"10.FG_TRI Pet place","Imagem externa"
"11.FG_TRI Fire place","Imagem externa"
"12.FG_TRI Caminhos angulo 1","Imagem externa"
"13.FG_TRI Caminhos angulo 2","Imagem externa"
"14.FG_TRI Caminhos angulo 3","Imagem externa"
"15.FG_TRI Bar - Lazer 1 posterior","Imagem externa"
"16.FG_TRI Piscina angulo 1 - Lazer 1 frente mar","Imagem externa"
"17.FG_TRI Piscina angulo 2 - Lazer 1 frente mar","Imagem externa"
"18.FG_TRI Piscina angulo 3 - Lazer 1 frente mar","Imagem externa"
"19.FG_TRI Estar da piscina - Lazer 1 frente mar","Imagem externa"
"20.FG_TRI Estar da piscina - Lazer 1 frente mar","Imagem externa"
"21.FG_TRI Bar da piscina - Lazer 1 frente mar","Imagem externa"
"22.FG_TRI Piscina angulo 1 - Lazer 2","Imagem externa"
"23.FG_TRI Piscina angulo 2 - Lazer 2","Imagem externa"
"24.FG_TRI Estar da piscina angulo 1 - Lazer 2","Imagem externa"
"25.FG_TRI Estar da piscina angulo 2 - Lazer 2","Imagem externa"
"26.FG_TRI Estar da piscina angulo 3 - Lazer 2","Imagem externa"
"27.FG_TRI Estar da piscina angulo 4 - Lazer 2",Imagem externa
"1.DOM_MOR Externa aerea / frontal com mar","Imagem Externa"
"2.DOM_MOR Externa Lateral com piscina","Imagem Externa"
"3.DOM_MOR Externa Fundos com acesso rua","Imagem Externa"
"4.DOM_MOR Externa Paisagismo circulacoes ACESSO","Imagem Externa"
"5.DOM_MOR Externa Paisagismo circulacoes ao mar","Imagem Externa"
"6.DOM_MOR Externa pet place + ACADEMIA EXTERNA","Imagem Externa"
"7.DOM_MOR Externa piscina + Espaco FOGO","Imagem Externa"
"8.DOM_MOR Externa ESPACO BALANCOS","Imagem Externa"
"9.DOM_MOR Externa da praia olhando para predio","Imagem Externa"
"10.DOM_MOR Interno Gourmet Mezanino - integrados","Imagem Interna"
"11.DOM_MOR Interno Gourmet Terreo","Imagem Interna"
"12.DOM_MOR Interno Piscina aquecida","Imagem Interna"
"13.DOM_MOR Interno Sauna","Imagem Interna"
"14.DOM_MOR Fotomontagem 01 - Antigo Wine Bar",Fachada
"15.DOM_MOR Fotomontagem 02 - Antigo Espaco Office",Fachada
"16.DOM_MOR Interno Academia","Imagem Interna"
"17.DOM_MOR Interno Brinquedoteca","Imagem Interna"
"18.DOM_MOR Apto varanda vista mar - T05 TORRE A","Imagem Interna"
"19.DOM_MOR Apto vista suite - L03 - TORRE B",Unidade
"20.DOM_MOR Apto sala e varanda vista mar - C05 TORRE B","Imagem Interna"
"21.DOM_MOR Fotomontagem",Fachada
"22.DOM_MOR Detalhe/conceito espreguicadeira + piscina","Imagem Interna"
"23.DOM_MOR Detalhe/conceito vista mar da suite / cortina","Imagem Interna"
"24.DOM_MOR Detalhe/conceito piscina aquecida","Imagem Interna"
"25.DOM_MOR Detalhe/conceito hall entrada","Imagem Interna"
"1.MSA_LIN Fotomontagem aerea com insercao do empreendimento em terreno real angulo 1",Fachada
"2.MSA_LIN Fotomontagem aerea com insercao do empreendimento em terreno real angulo 2",Fachada
"3.MSA_LIN Fachada no angulo do observador",Fachada
"4.MSA_LIN Embasamento mostrando area comercial",Fachada
"5.MSA_LIN Hall de entrada","Imagem Interna"
"6.MSA_LIN Quadra poliesportiva","Imagem Externa"
"7.MSA_LIN Playground","Imagem Externa"
"8.MSA_LIN Line park (Fire place antigo)","Imagem Externa"
"9.MSA_LIN Coworking (Terraco antigo)",Unidade
"10.MSA_LIN Espaco funcional","Imagem Externa"
"11.MSA_LIN PUB / Sala de jogos","Imagem Interna"
"12.MSA_LIN Academia","Imagem Interna"
"13.MSA_LIN Boate (Espaco gourmet antigo)","Imagem Interna"
"14.MSA_LIN Salao de festas","Imagem Interna"
"15.MSA_LIN Market place","Imagem Interna"
"16.MSA_LIN Brinquedoteca","Imagem Interna"
"17.MSA_LIN Piscinas angulo 1","Imagem Externa"
"18.MSA_LIN Piscinas angulo 2","Imagem Externa"
"19.MSA_LIN Quiosque das piscinas","Imagem Interna"
"20.MSA_LIN Living do apartamento tipo 1 ou 2",Unidade
"21.MSA_LIN Sacada com vista real do apartamento tipo 1 ou 2",Unidade
"22.MSA_LIN Suite do apartamento tipo 1 ou 2",Unidade
"23.MSA_LIN Living do apartamento tipo 3 ou 4",Unidade
"24.MSA_LIN Suite do apartamento tipo 3 ou 4",Unidade
"25.MSA_LIN Sacada com vista real do apartamento tipo 3",Unidade
"26.MSA_LIN Sacada com vista real do apartamento tipo 4",Unidade
"27.MSA_LIN Planta humanizada implantacao geral mostrando o pavimento terreo","Planta Humanizada"
"28.MSA_LIN Planta humanizada do pavimento lazer","Planta Humanizada"
"29.MSA_LIN Planta humanizada do pavimento tipo","Planta Humanizada"
"1.INO_ITA Fachada noturna",Fachada
"1.DAN_UPP Fachada focada em uma torre",Fachada
"2.DAN_UPP Fachada angulo a decidir",Fachada
"3.DAN_UPP Fachada mostrando torres",Fachada
"4.DAN_UPP Fachada aerea mostrando as areas de lazer entres as torres",Fachada
"5.DAN_UPP Fachada aerea mostrando sentido entrada olhando para as torres",Fachada
"6.DAN_UPP Hall de entrada","Imagem interna"
"7.DAN_UPP Piscina","Imagem externa"
"8.DAN_UPP Piscina angulo","Imagem externa"
"9.DAN_UPP Vending Machine - Terreo","Imagem interna"
"10.DAN_UPP Salao de festas adulto - torre A","Imagem interna"
"11.DAN_UPP Arena Gamer - Torre A","Imagem Interna"
"12.DAN_UPP Cinema - Torre A","Imagem Interna"
"13.DAN_UPP Espaco Beleza - Torre A","Imagem Interna"
"14.DAN_UPP Churrasqueira - Torre B","Imagem externa"
"15.DAN_UPP Playground - Torre B","Imagem externa"
"16.DAN_UPP Espaco Yoga - Torre B","Imagem Interna"
"17.DAN_UPP Salao de festas infantil","Imagem interna"
"18.DAN_UPP Fitness - Danca e Luta - Torre B","Imagem interna"
"19.DAN_UPP Mini Quadra esportiva - torre C","Imagem Externa"
"20.DAN_UPP Pet Place - Torre C","Imagem externa"
"21.DAN_UPP Brinquedoteca - Torre C","Imagem Interna"
"22.DAN_UPP Salao de jogos - Torre C","Imagem Interna"
"23.DAN_UPP Pet Care - Torre C","Imagem interna"
"24.DAN_UPP Living apto tipo a escolher",Unidade
"25.DAN_UPP PB Apto tipo","Planta Humanizada"
"26.DAN_UPP Implantacao terreo acesso as torres","Planta Humanizada"
"27.DAN_UPP Sobressolo","Planta Humanizada"
"28.DAN_UPP Pavimento tipo","Planta Humanizada"
"1.LIN_SUR Fachada embasamento",Fachada
"2.LIN_SUR Fachada Noturna",Fachada
"3.LIN_SUR Fachada Diurna",Fachada
"4.LIN_SUR Fachada fotomontagem",Fachada
"5.LIN_SUR Fachada fotomontagem angulo",Fachada
"6.LIN_SUR Fachada angular",Fachada
"1.LIN_MIL Fachada diurna",Fachada
"2.LIN_MIL Fachada fotomontagem",Fachada
"3.LIN_MIL Fachada frontal",Fachada
"4.LIN_MIL Fachada embasamento",Fachada
"1.MEN_COL Fachada Diurna",Fachada
"2.MEN_COL Fachada Entardecer",Fachada
"3.MEN_COL Fachada Fundos",Fachada
"4.MEN_COL Fachada Voo do passaro",Fachada
"5.MEN_COL Hall de entrada","Imagem interna"
"6.MEN_COL Piscina + Gourmet","Imagem externa"
"7.MEN_COL Living de uma unidade a definir",Unidade
"1.INO_TAB Fotomontagem com empreendimento no terreno real",Fachada
"2.INO_TAB Fachada diagonal vindo do mar",Fachada
"3.INO_TAB Fachada lateral esquerda (terreno e de esquina)",Fachada
"4.INO_TAB Sacada externa ""olhando de fora do predio"", mostrando a vista mar","Imagem Externa"
"5.INO_TAB Piscina e area frontal de lazer - explorando vista mar","Imagem Externa"
"6.INO_TAB Piscina noturna explorando iluminacao, do terraco e lazer","Imagem Externa"
"7.INO_TAB Salao de festa fundos","Imagem Externa"
"8.INO_TAB Salao Gourmet frente","Imagem Interna"
"9.INO_TAB Brinquedoteca","Imagem Interna"
"10.INO_TAB Academia - explorando vista mar","Imagem Interna"
"11.INO_TAB Fireplace - explorando vista mar","Imagem Externa"
"12.INO_TAB Sala de jogos","Imagem Interna"
"13.INO_TAB Playground com terraco de lazer","Imagem Externa"
"14.INO_TAB Hall de entrada","Imagem Interna"
"15.INO_TAB Acesso de pedestres, mostrando areas de canteiro, acabamentos e proximidade com a praia","Imagem Externa"
"16.INO_TAB Living com sacada lateral – explorando vista mar",Unidade
"17.INO_TAB Living apartamento fundos",Unidade
"18.INO_TAB Suite master com vista mar","Imagem Interna"
"19.INO_TAB Suite solteiro com vista mar","Imagem Interna"
"20.INO_TAB Sacada com vista 1 – apartamentos da frente - explorando vista mar",Unidade
"21.INO_TAB Sacada com vista 2 – apartamentos da frente - explorando vista mar",Unidade
"22.INO_TAB PH Terreo","Planta Humanizada"
"23.INO_TAB PH Garagem tipo","Planta Humanizada"
"24.INO_TAB PH Lazer","Planta Humanizada"
"25.INO_TAB Salao de festas Angulo Extra","Imagem Interna"
"26.INO_TAB Salao Gourmet Angulo Extra","Imagem interna"
"27.INO_TAB Sala de jogos alteracao de projeto","Imagem interna"
"1.FAS_ELI Planta humanizada do pavimento lazer 1","Planta Humanizada"
"2.FAS_ELI Planta humanizada do pavimento tipo","Planta Humanizada"
"1.CAP_TIV Fachada diurna",Fachada
"2.CAP_TIV Fachada noturna",Fachada
"3.CAP_TIV Fachada aerea",Fachada
"4.CAP_TIV Fachada embasamento",Fachada
"5.CAP_TIV Fotomontagem aerea",Fachada
"6.CAP_TIV Fachada angulo a escolher",Fachada
"7.CAP_TIV Salao de festas","Imagem Interna"
"8.CAP_TIV BBQ Grill","Imagem Externa"
"9.CAP_TIV Piscina","Imagem Externa"
"10.CAP_TIV Piscina angulo","Imagem Externa"
"11.CAP_TIV Academia","Imagem Interna"
"12.CAP_TIV Home market","Imagem Interna"
"13.CAP_TIV Casa da Piscina","Imagem Interna"
"14.CAP_TIV Casa da piscina angulo","Imagem Interna"
"15.CAP_TIV Vinoteca","Imagem Interna"
"16.CAP_TIV Fire Place","Imagem Externa"
"17.CAP_TIV Cinema","Imagem Externa"
"18.CAP_TIV Varanda Rooftop","Imagem Externa"
"19.CAP_TIV Praca contemplacao","Imagem Externa"
"20.CAP_TIV Sala de jogos interna","Imagem Interna"
"21.CAP_TIV Sala de jogos externa","Imagem externa"
"22.CAP_TIV Living- Sacada do apto tipo 1",Unidade
"23.CAP_TIV Living- Sacada apto tipo 1 angulo",Unidade
"24.CAP_TIV Suite do apto tipo 1",Unidade
"25.CAP_TIV Living- Sacada do apto tipo 2",Unidade
"26.CAP_TIV Living- Sacada apto tipo 2 angulo",Unidade
"27.CAP_TIV Suite apto tipo 2",Unidade
"28.CAP_TIV Living apto tipo 3",Unidade
"29.CAP_TIV Living apto tipo 3 angulo",Unidade
"30.CAP_TIV Suite apto tipo 4",Unidade
"31.CAP_TIV Planta Humanizada pavimento lazer 01","Planta Humanizada"
"32.CAP_TIV Planta Humanizada pavimento lazer rooftop","Planta Humanizada"
"33.CAP_TIV Planta Humanizada pavimento tipo diferenciado","Planta Humanizada"
"34.CAP_TIV Planta Humanizada pavimento tipo","Planta Humanizada"
"35.CAP_TIV Planta Humanizada pavimento terreo","Planta Humanizada"
"1.STR_SPA Fotomontagem aerea com insercao da fachada - Angulo 1",Fachada
"2.STR_SPA Fotomontagem aerea com insercao da fachada - Angulo 2",Fachada
"3.STR_SPA Quadras externas mostrando churrasqueiras","Imagem Externa"
"4.STR_SPA Quadras internas angulo 1 - Corredor","Imagem Interna"
"5.STR_SPA Quadras internas angulo 2 - Aerea","Imagem Interna"
"6.STR_SPA Quadras internas angulo 3 - Quadra areia","Imagem Interna"
"7.STR_SPA Bar interno","Imagem Interna"
"1.CAR_MOV Fachada diurna",Fachada
"2.CAR_MOV Fachada noturna no angulo do observador de baixo",Fachada
"3.CAR_MOV Fachada aerea",Fachada
"4.CAR_MOV Embasamento",Fachada
"5.CAR_MOV Portaria / Acesso",Fachada
"6.CAR_MOV Hall de entrada - torre 1","Imagem Interna"
"7.CAR_MOV Horta - torre 1","Imagem Externa"
"8.CAR_MOV Lounge + Redario - torre 1","Imagem Externa"
"9.CAR_MOV Fire Place + Chess - torre 1","Imagem Externa"
"10.CAR_MOV Academia externa - torre 1","Imagem Externa"
"11.CAR_MOV Terraco - torre 1","Imagem Externa"
"12.CAR_MOV Pet Place-torre 1","Imagem Externa"
"13.CAR_MOV Espaco pub - torre 1","Imagem Interna"
"14.CAR_MOV Festas 1 - torre 1","Imagem Interna"
"15.CAR_MOV Festas 2 - torre 1","Imagem Interna"
"16.CAR_MOV Espaco kids - torre 1","Imagem Interna"
"17.CAR_MOV Espaco mulher - torre 1","Imagem Interna"
"18.CAR_MOV Espaco gourmet - torre 1","Imagem Interna"
"19.CAR_MOV Jogos teen - torre 1","Imagem Interna"
"20.CAR_MOV Festas teen - torre 1","Imagem Interna"
"21.CAR_MOV Academia - torre 1","Imagem Interna"
"22.CAR_MOV Poker Place - torre 1","Imagem Interna"
"23.CAR_MOV Living apto tipo - torre 1",Unidade
"24.CAR_MOV Sacado apto tipo - torre 1",Unidade
"25.CAR_MOV Suite 01 apto tipo - torre 1",Unidade
"26.CAR_MOV Living cobertura tipo - torre 1",Unidade
"27.CAR_MOV Suite cobertura tipo - torre 1",Unidade
"28.CAR_MOV Sacada cobertura tipo com vista - torre 1",Unidade
"29.CAR_MOV Terraco descoberto cobertura + sacada - torre 1","Imagem Externa"
"30.CAR_MOV Piscina cobertura - torre 1","Imagem Externa"
"31.CAR_MOV Implantacao terreo","Planta Humanizada"
"32.CAR_MOV PB cobertura 1 - Torre 1","Planta Humanizada"
"33.CAR_MOV PB Cobertura 2 - torre 1","Planta Humanizada"
"34.CAR_MOV Implantacao lazer - torre 1","Planta Humanizada"
"35.CAR_MOV PB Apto tipo - torre 1","Planta Humanizada"
"36.CAR_MOV PB Apto tipo 2 - torre 1","Planta Humanizada"
"1.CAR_ABS Fachada diurna no angulo do observador de baixo",Fachada
"2.CAR_ABS Fachada noturna",Fachada
"3.CAR_ABS Embasamento",Fachada
"4.CAR_ABS Hall de entrada","Imagem Interna"
"5.CAR_ABS Pergolado","Imagem Externa"
"6.CAR_ABS Espaco luau + estar","Imagem Externa"
"7.CAR_ABS Spa Lounge","Imagem Externa"
"8.CAR_ABS Ioga space","Imagem Externa"
"9.CAR_ABS Academia","Imagem Interna"
"10.CAR_ABS Pub","Imagem Interna"
"11.CAR_ABS Salao de festas 1","Imagem Interna"
"12.CAR_ABS Suite 1 apto tipo",Unidade
"13.CAR_ABS Living apto tipo",Unidade
"14.CAR_ABS Salao de festas 2","Imagem Interna"
"15.CAR_ABS Piscina Rooftop","Imagem Externa"
"16.CAR_ABS Implantacao terreo Louvre (mostrando as 7 torres)","Planta Humanizada"
"17.CAR_ABS Implantacao terreo Louvre (unica torre )","Planta Humanizada"
"18.CAR_ABS Implantacao lazer Louvre lazer tipo","Planta Humanizada"
"19.CAR_ABS PB Apto tipo 1","Planta Humanizada"
28.FG_TRI_Fotomontagem_RSVI0166,"Fachada "
29.FG_TRI_Fotomontagem_DJI2024,"Fachada "
"1.HUR_SEN Fotomontagem da fachada com entorno",Fachada
"2.HUR_SEN Imagem de acesso nivel do pedestre",Fachada
"3.HUR_SEN Imagem Garden terceiro pavimento","Imagem Externa"
"4.HUR_SEN Imagem Garden Terreo","Imagem Externa"
